t_ms,t_sec_rel,q_w,q_x,q_y,q_z,roll_deg,pitch_deg,yaw_deg
,0.755,0.9585417205056467,0.28320352844158325,-0.001715985308133346,-0.031473590877658476,32.89425094266305,0.832948225317868,-3.5153488338405396
,0.76,0.957639855820825,0.28621804942072854,-0.0015591317685007572,-0.031665499165357616,33.25383589636098,0.8675085139649673,-3.5286620576054943
,0.765,0.9567255068653938,0.2892398411043716,-0.001401467548705852,-0.03185364531388936,33.61462762395285,0.9021620259399592,-3.541344042341999
,0.77,0.9557986032856444,0.2922687987338237,-0.0012429823395772848,-0.03203801240405856,33.976621210406236,0.936904594491027,-3.5533914265624476
,0.775,0.9548590756562252,0.2953048156882037,-0.0010836660630551605,-0.03221858370814736,34.339811585357836,0.9717319595379071,-3.5648009025810046
,0.78,0.9538774642307151,0.298456296136713,-0.0011370606273976998,-0.03225414116458985,34.71801091640081,0.9788698075801554,-3.56729368556703
,0.785,0.9528824229453073,0.30161434711006113,-0.0011895904647488628,-0.03228712644039742,35.09739023975015,0.9860770395965821,-3.569456948082718
,0.79,0.9518738860918959,0.3047788407637437,-0.0012412476159888767,-0.03231752625707003,35.47794207869229,0.9933508247471653,-3.571288599679721
,0.795,0.950851789252536,0.3079496473982263,-0.0012920243127412237,-0.03234532757191353,35.859658788059555,1.0006882699056368,-3.5727865977262674
,0.8,0.949816069331699,0.31112663547191344,-0.0013419129800407732,-0.03237051758563835,36.24253255414393,1.0080864202537143,-3.5739489491044725
,0.805,0.948766664588474,0.31430967161489703,-0.0013909062389371818,-0.03239308374995983,36.62655539464977,1.015542259922979,-3.5747737119045246
,0.81,0.9477822425502035,0.3172770610923482,-0.0016930169739703186,-0.032267954763750974,36.985872002122555,0.989349081967667,-3.5689456957009233
,0.815,0.9467855205000332,0.32025025114396466,-0.0019939613451479036,-0.032139989605833676,37.34626210269097,0.9631858165205458,-3.5629574531108847
,0.82,0.945776444486643,0.32322912696039807,-0.002293729603948247,-0.03200917592076608,37.707718703583915,0.937050367923146,-3.5568079729328237
,0.825,0.9447549617011396,0.3262135721400705,-0.002592312205171529,-0.031875501723488374,38.07023465992854,0.9109405980655904,-3.550496294992595
,0.83,0.9437210205026212,0.3292034687030509,-0.0028896998095194882,-0.03173895540785212,38.43380267508637,0.8848543272378102,-3.5440215114776197
,0.835,0.9426745704436852,0.3321986971054429,-0.0031858832861042406,-0.03159952575510053,38.79841530101384,0.8587893350212563,-3.5373827682577783
,0.84,0.9416302185966953,0.33514226199633923,-0.0035754895231286045,-0.0316134706128106,39.15734590583228,0.8283219747039993,-3.551143144248061
,0.845,0.9405738132169779,0.338090369996285,-0.003963344283870239,-0.03162428668501597,39.51723451524711,0.7980470290360192,-3.564717098682119
,0.85,0.9395053172623066,0.3410429016337154,-0.0043494317974503306,-0.03163195416264285,39.87807309745937,0.7679628112167001,-3.57810159437522
,0.855,0.9384246949621117,0.34399973608564494,-0.004733736557199197,-0.031636453601522334,40.239853479069886,0.7380675625451261,-3.5912936351026663
,0.86,0.9373319118376796,0.3469607511978428,-0.005116243324607501,-0.03163776593238666,40.602567346109524,0.7083594529904106,-3.604290267440518
,0.865,0.9362269347221549,0.34992582350538537,-0.0054969371331869245,-0.031635872470811725,40.966206245085836,0.6788365818125903,-3.6170885825999655
,0.87,0.935082172601727,0.35296998505092214,-0.006134234364218852,-0.03155774555241303,41.34088700340548,0.6191415087202237,-3.6322501746011224
,0.875,0.933924270825837,0.3560180533353492,-0.006769255888249431,-0.03147664588955604,41.71652732725792,0.5597063710142061,-3.6474255799016317
,0.88,0.9327531975472451,0.3590698968019392,-0.0074019818950215545,-0.031392552302428524,42.09311868075716,0.5005306347934835,-3.662611505204239
,0.885,0.9315689224324846,0.3621253824204787,-0.008032392895791949,-0.031305444081970966,42.4706523592919,0.4416136919029573,-3.6778046921521366
,0.89,0.9303714166825846,0.36518437571656165,-0.00866046972779612,-0.031215301001903478,42.849119491360675,0.382954860580181,-3.693001919221847
,0.895,0.9291606530535075,0.36824674080112296,-0.009286193558598173,-0.03112210333062744,43.228511040411284,0.32455338615630996,-3.7082000036062386
,0.9,0.9279822239237305,0.371218378860569,-0.00992325817455187,-0.030780451993101095,43.597328794609,0.25412621356444925,-3.697883803416573
,0.905,0.926790860859344,0.3741936744668955,-0.0105585519693932,-0.030435360961696113,43.967070477666866,0.18370778211034167,-3.6876177451322327
,0.91,0.9255865311868597,0.37717249888289195,-0.011192064089243928,-0.030086825577543035,44.33772813999341,0.11329668055956985,-3.6774024683337037
,0.915,0.9243692036641207,0.3801547219615947,-0.011823783958193192,-0.029734841862232873,44.709293681877625,0.04289148463067244,-3.6672386826856895
,0.92,0.9231388485023416,0.3831402121708575,-0.012453701279268972,-0.029379406527154074,45.0817588548238,-0.02750924127557097,-3.657127168697467
,0.925,0.9218954373879338,0.38612883661833347,-0.013081806035295383,-0.029020516982605358,45.455115262905345,-0.09790694231554777,-3.6470687784400257
,0.93,0.920653013585434,0.38908649244106996,-0.013544847788834117,-0.028744861703287244,45.82447624461119,-0.1473497261862366,-3.63892487399761
,0.935,0.9193978736545891,0.39204735391133927,-0.014006105302779525,-0.02846491216892493,46.19473562093349,-0.19682169590937043,-3.630606813568174
